time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-07 00:00:00+00:00,8,4,1,1
2024-10-08 00:00:00+00:00,1,1,0,0
2024-10-09 00:00:00+00:00,1,1,0,0
2024-10-10 00:00:00+00:00,1,1,2,1
2024-10-11 00:00:00+00:00,4,4,0,0
2024-10-12 00:00:00+00:00,1,1,0,0
2024-10-13 00:00:00+00:00,2,2,0,0
2024-10-14 00:00:00+00:00,8,5,0,0
2024-10-15 00:00:00+00:00,1,1,0,0
2024-10-16 00:00:00+00:00,2,2,0,0
2024-10-17 00:00:00+00:00,6,6,2,1
2024-10-18 00:00:00+00:00,3,2,0,0
2024-10-19 00:00:00+00:00,3,2,0,0
2024-10-20 00:00:00+00:00,2,2,0,0
2024-10-21 00:00:00+00:00,3,2,0,0
2024-10-22 00:00:00+00:00,1,1,1,1
2024-10-23 00:00:00+00:00,1,1,135,1
2024-10-24 00:00:00+00:00,2,2,0,0
2024-10-25 00:00:00+00:00,1,1,0,0
2024-10-26 00:00:00+00:00,1,1,0,0
2024-10-27 00:00:00+00:00,3,2,0,0
2024-10-28 00:00:00+00:00,3,2,9,1
2024-10-29 00:00:00+00:00,3,2,0,0
2024-10-30 00:00:00+00:00,1,1,0,0
2024-10-31 00:00:00+00:00,1,1,5,2
2024-11-01 00:00:00+00:00,1,1,0,0
2024-11-02 00:00:00+00:00,1,1,0,0
2024-11-03 00:00:00+00:00,2,2,0,0
2024-11-04 00:00:00+00:00,4,3,1,1
2024-11-05 00:00:00+00:00,1,1,0,0
2024-11-06 00:00:00+00:00,4,2,2,2
2024-11-07 00:00:00+00:00,1,1,1,1
2024-11-08 00:00:00+00:00,6,3,0,0
2024-11-09 00:00:00+00:00,1,1,0,0
2024-11-10 00:00:00+00:00,1,1,0,0
2024-11-11 00:00:00+00:00,3,2,0,0
2024-11-12 00:00:00+00:00,2,2,0,0
2024-11-13 00:00:00+00:00,1,1,0,0
2024-11-14 00:00:00+00:00,1,1,9,1
2024-11-15 00:00:00+00:00,3,2,3,3
2024-11-16 00:00:00+00:00,1,1,0,0
2024-11-17 00:00:00+00:00,1,1,1,1
2024-11-18 00:00:00+00:00,5,4,0,0
2024-11-19 00:00:00+00:00,1,1,0,0
2024-11-20 00:00:00+00:00,1,1,22,1
2024-11-21 00:00:00+00:00,1,1,6,2
2024-11-22 00:00:00+00:00,4,3,0,0
2024-11-23 00:00:00+00:00,2,2,0,0
2024-11-24 00:00:00+00:00,2,2,0,0
2024-11-25 00:00:00+00:00,5,3,7,1
2024-11-26 00:00:00+00:00,4,4,0,0
2024-11-27 00:00:00+00:00,4,2,0,0
2024-11-28 00:00:00+00:00,2,2,0,0
2024-11-29 00:00:00+00:00,2,2,0,0
2024-11-30 00:00:00+00:00,1,1,0,0
2024-12-01 00:00:00+00:00,3,2,0,0
2024-12-02 00:00:00+00:00,8,5,3,2
2024-12-03 00:00:00+00:00,6,3,4,3
2024-12-04 00:00:00+00:00,1,1,0,0
2024-12-05 00:00:00+00:00,1,1,0,0
2024-12-06 00:00:00+00:00,1,1,0,0
2024-12-07 00:00:00+00:00,4,3,0,0
2024-12-08 00:00:00+00:00,3,2,1,1
2024-12-09 00:00:00+00:00,2,1,5,3
2024-12-10 00:00:00+00:00,4,2,0,0
2024-12-11 00:00:00+00:00,1,1,1,1
2024-12-12 00:00:00+00:00,5,4,0,0
2024-12-13 00:00:00+00:00,6,4,0,0
2024-12-14 00:00:00+00:00,1,1,0,0
2024-12-15 00:00:00+00:00,1,1,0,0
2024-12-16 00:00:00+00:00,5,4,0,0
2024-12-17 00:00:00+00:00,4,3,0,0
2024-12-18 00:00:00+00:00,1,1,0,0
2024-12-19 00:00:00+00:00,2,2,7,1
2024-12-20 00:00:00+00:00,7,5,0,0
2024-12-21 00:00:00+00:00,1,1,0,0
2024-12-22 00:00:00+00:00,4,3,0,0
2024-12-23 00:00:00+00:00,3,2,4,2
2024-12-24 00:00:00+00:00,3,3,1,1
2024-12-25 00:00:00+00:00,3,2,1,1
2024-12-26 00:00:00+00:00,1,1,0,0
2024-12-27 00:00:00+00:00,2,2,0,0
2024-12-28 00:00:00+00:00,2,2,0,0
2024-12-29 00:00:00+00:00,2,2,0,0
2024-12-30 00:00:00+00:00,2,1,0,0
2024-12-31 00:00:00+00:00,2,2,0,0
2025-01-01 00:00:00+00:00,3,2,0,0
2025-01-02 00:00:00+00:00,2,2,0,0
2025-01-03 00:00:00+00:00,1,1,0,0
2025-01-04 00:00:00+00:00,2,2,0,0
2025-01-05 00:00:00+00:00,1,1,0,0
2025-01-06 00:00:00+00:00,4,3,0,0
2025-01-07 00:00:00+00:00,1,1,0,0
2025-01-08 00:00:00+00:00,3,2,0,0
2025-01-09 00:00:00+00:00,1,1,3,1
2025-01-10 00:00:00+00:00,2,2,3,1
2025-01-11 00:00:00+00:00,3,3,0,0
2025-01-12 00:00:00+00:00,3,2,0,0
2025-01-13 00:00:00+00:00,8,5,0,0
2025-01-14 00:00:00+00:00,3,3,0,0
2025-01-15 00:00:00+00:00,2,2,1,1
2025-01-16 00:00:00+00:00,3,2,0,0
2025-01-17 00:00:00+00:00,3,2,0,0
2025-01-18 00:00:00+00:00,1,1,0,0
2025-01-19 00:00:00+00:00,4,2,0,0
2025-01-20 00:00:00+00:00,3,2,0,0
2025-01-21 00:00:00+00:00,2,2,0,0
2025-01-22 00:00:00+00:00,2,2,1,1
2025-01-23 00:00:00+00:00,1,1,0,0
2025-01-24 00:00:00+00:00,4,4,8,2
2025-01-25 00:00:00+00:00,4,2,3,1
2025-01-26 00:00:00+00:00,4,3,0,0
2025-01-27 00:00:00+00:00,4,3,0,0
2025-01-28 00:00:00+00:00,3,2,2,1
2025-01-29 00:00:00+00:00,4,3,0,0
2025-01-30 00:00:00+00:00,2,2,0,0
2025-01-31 00:00:00+00:00,2,2,2,1
2025-02-01 00:00:00+00:00,9,6,10,4
2025-02-02 00:00:00+00:00,6,3,1,1
2025-02-03 00:00:00+00:00,12,8,3,1
2025-02-04 00:00:00+00:00,5,5,0,0
2025-02-05 00:00:00+00:00,6,3,0,0
2025-02-06 00:00:00+00:00,4,4,0,0
2025-02-07 00:00:00+00:00,8,5,1,1
2025-02-08 00:00:00+00:00,6,3,0,0
2025-02-09 00:00:00+00:00,6,3,0,0
2025-02-10 00:00:00+00:00,7,5,3,1
2025-02-11 00:00:00+00:00,6,3,1,1
2025-02-12 00:00:00+00:00,4,3,0,0
2025-02-13 00:00:00+00:00,8,4,5,2
2025-02-14 00:00:00+00:00,2,2,0,0
2025-02-15 00:00:00+00:00,4,4,2,2
2025-02-16 00:00:00+00:00,4,3,0,0
2025-02-17 00:00:00+00:00,8,6,0,0
2025-02-18 00:00:00+00:00,3,3,4,1
2025-02-19 00:00:00+00:00,9,6,0,0
2025-02-20 00:00:00+00:00,3,3,0,0
2025-02-21 00:00:00+00:00,2,2,3,1
2025-02-22 00:00:00+00:00,6,3,0,0
2025-02-23 00:00:00+00:00,6,3,0,0
2025-02-24 00:00:00+00:00,12,7,0,0
2025-02-25 00:00:00+00:00,2,2,0,0
2025-02-26 00:00:00+00:00,5,3,1,1
2025-02-27 00:00:00+00:00,7,5,0,0
2025-02-28 00:00:00+00:00,9,6,0,0
2025-03-01 00:00:00+00:00,5,3,0,0
2025-03-02 00:00:00+00:00,6,3,0,0
2025-03-03 00:00:00+00:00,8,5,0,0
2025-03-04 00:00:00+00:00,6,4,0,0
2025-03-05 00:00:00+00:00,3,3,2,1
2025-03-06 00:00:00+00:00,5,4,0,0
2025-03-07 00:00:00+00:00,4,4,3,2
2025-03-08 00:00:00+00:00,2,2,1,1
2025-03-09 00:00:00+00:00,5,5,0,0
2025-03-10 00:00:00+00:00,9,7,1,1
2025-03-11 00:00:00+00:00,5,4,3,2
2025-03-12 00:00:00+00:00,3,3,0,0
2025-03-13 00:00:00+00:00,2,2,0,0
2025-03-14 00:00:00+00:00,3,3,0,0
2025-03-15 00:00:00+00:00,9,4,0,0
2025-03-16 00:00:00+00:00,6,4,0,0
2025-03-17 00:00:00+00:00,4,3,0,0
